date,year,month,day,ordinal,population,sex,SL,BD,AFL,DFL
20130528,2013,5,28,147,aomori,m,22.04442054,4.79483117,4.050612672,3.756849863
20130528,2013,5,28,147,aomori,m,24.23753943,5.244705438,4.588572176,4.299460732
20130528,2013,5,28,147,aomori,m,24.52621481,5.363751326,4.164280419,3.83374275
20130528,2013,5,28,147,aomori,m,22.4884806,4.884079248,3.641873919,3.937817056
20130528,2013,5,28,147,aomori,m,29.19327878,6.436763231,5.361570999,4.9319011
20130528,2013,5,28,147,aomori,m,22.93065105,5.084233324,4.398592962,4.092184252
20130528,2013,5,28,147,aomori,f,24.47345088,NA,NA,NA
20130528,2013,5,28,147,aomori,f,29.19487768,5.387298865,3.734901231,3.426748259
20130528,2013,5,28,147,aomori,f,22.91902263,4.345102257,2.879049959,2.874398593
20130528,2013,5,28,147,aomori,f,28.54194224,5.371455151,3.848132913,3.500879399
20130528,2013,5,28,147,aomori,f,28.26227888,5.488611422,3.558876114,3.698271727
20130528,2013,5,28,147,aomori,f,30.62182944,5.66943326,4.079683707,3.832870619
20130528,2013,5,28,147,aomori,f,28.29411166,5.239908717,3.7213832,3.545212727
20130528,2013,5,28,147,aomori,f,23.7959504,4.437548149,3.338226958,3.305522043
20130528,2013,5,28,147,aomori,f,24.62258529,4.437402794,3.141270695,2.736747242
20130528,2013,5,28,147,aomori,f,23.65495588,4.284634504,3.228047735,2.771196418
20130528,2013,5,28,147,aomori,f,27.65513031,4.909807114,3.648414902,3.50146082
20130528,2013,5,28,147,aomori,f,22.97818219,4.143203919,3.02120732,2.679186592
20130528,2013,5,28,147,aomori,f,26.38022007,4.827536084,3.380234603,3.301888164
20130528,2013,5,28,147,aomori,f,26.52426705,4.538279285,3.65481053,3.375001817
20130528,2013,5,28,147,aomori,f,28.86463073,5.185545881,4.207450906,3.918920883
20130528,2013,5,28,147,aomori,f,21.83743477,4.137971132,2.865531927,2.674244516
20130528,2013,5,28,147,aomori,f,25.35037865,4.414872742,3.138508947,2.901434656
20130611,2013,6,11,161,aomori,m,23.82917313,5.276806823,4.486489622,4.186259011
20130611,2013,6,11,161,aomori,m,21.95788069,4.503169101,4.20279345,4.065731649
20130611,2013,6,11,161,aomori,m,24.39975633,5.567899981,4.823415087,4.819353997
20130611,2013,6,11,161,aomori,m,23.02957344,5.001232831,4.47590178,4.478222403
20130611,2013,6,11,161,aomori,m,26.90675446,6.639012575,5.401105197,5.448823009
20130611,2013,6,11,161,aomori,m,23.29717029,5.388776887,4.164648208,4.423832799
20130611,2013,6,11,161,aomori,m,22.56066254,4.912759076,4.541604421,4.533047123
20130611,2013,6,11,161,aomori,m,24.53638302,5.553541126,5.347585827,4.900720844
20130611,2013,6,11,161,aomori,m,28.79661189,6.335446067,4.993835845,4.848796902
20130611,2013,6,11,161,aomori,m,24.43180994,5.10014939,4.394099816,4.448779497
20130611,2013,6,11,161,aomori,m,25.36005918,5.737740583,4.718842009,4.701582375
20130611,2013,6,11,161,aomori,m,23.81858529,5.034446749,4.193801036,4.051372794
20130611,2013,6,11,161,aomori,m,25.78255762,5.856527478,4.764819354,4.271251831
20130611,2013,6,11,161,aomori,m,25.64114465,5.770084268,5.334242244,4.861995446
20130611,2013,6,11,161,aomori,m,24.55161211,5.228073738,4.259648716,4.796002727
20130611,2013,6,11,161,aomori,m,24.230931,5.26621898,4.692154844,4.615719321
20130611,2013,6,11,161,aomori,m,24.60252078,5.40342582,4.585406182,4.626162125
20130611,2013,6,11,161,aomori,m,24.1687093,5.108271571,4.480252948,4.332313226
20130611,2013,6,11,161,aomori,m,24.01757872,5.077523315,4.432535136,4.316794059
20130611,2013,6,11,161,aomori,m,20.625698,4.484894194,3.938242418,3.554034258
20130611,2013,6,11,161,aomori,f,24.9858587,4.644437031,3.245971543,3.126894571
20130611,2013,6,11,161,aomori,f,25.82360364,4.591497817,3.309353561,3.086573745
20130611,2013,6,11,161,aomori,f,23.73054665,4.714345802,3.287162603,3.027252817
20130611,2013,6,11,161,aomori,f,25.07607293,4.59526883,3.010138222,2.996214484
20130611,2013,6,11,161,aomori,f,24.60005511,4.867506926,3.378537137,3.060901852
20130611,2013,6,11,161,aomori,f,26.27438467,5.065485083,3.484705643,3.619011705
20130611,2013,6,11,161,aomori,f,26.07553628,4.77091099,3.659042453,3.150535919
20130611,2013,6,11,161,aomori,f,23.46469027,4.380176077,3.018985598,2.896862808
20130611,2013,6,11,161,aomori,f,28.41428924,5.415319013,3.82003568,3.443514584
20130611,2013,6,11,161,aomori,f,27.18653458,4.861705368,3.702844214,2.775465212
20130611,2013,6,11,161,aomori,f,28.26547928,4.883751287,3.930265276,3.738088677
20130611,2013,6,11,161,aomori,f,22.23998144,3.950425689,2.997084717,2.821587596
20130611,2013,6,11,161,aomori,f,22.08856078,4.13419003,2.842763282,2.689892236
20130611,2013,6,11,161,aomori,f,25.44229626,4.432970253,3.459033751,3.340246856
20130611,2013,6,11,161,aomori,f,23.88182227,4.134335069,2.876557356,2.675098264
20130611,2013,6,11,161,aomori,f,24.10025092,4.509840892,3.121673169,3.076421019
20130611,2013,6,11,161,aomori,f,24.37161878,NA,NA,NA
20130611,2013,6,11,161,aomori,f,26.28526259,4.485039233,3.474697956,3.290208421
20130611,2013,6,11,161,aomori,f,26.81755551,4.875484067,3.601026876,3.293254239
20130611,2013,6,11,161,aomori,f,22.80925929,4.114899851,3.097596705,2.66335011
20130629,2013,6,29,179,aomori,m,27.64743441,6.477826794,5.645315765,5.072846529
